Index,TagID_Hex,PRI,TagID_Dec,tank
620,369E,5,13982,33
621,36A0,5,13984,33
625,36BE,5,14014,33
626,36C2,5,14018,33
633,36DE,5,14046,33
636,36E6,5,14054,33
645,3724,5,14116,33
646,3726,5,14118,33
648,372E,5,14126,33
652,373A,5,14138,33
654,3744,5,14148,33
658,3750,5,14160,33
660,375E,5,14174,33
661,3762,5,14178,33
662,3764,5,14180,33
663,3766,5,14182,33
673,37A2,5,14242,33
675,37A6,5,14246,33
676,37A8,5,14248,33
677,37AC,5,14252,33
680,37B4,5,14260,33
685,37DA,5,14298,33
687,382A,5,14378,33
696,38DA,5,14554,33
700,3A4C,5,14924,33
2,238A,5,9098,34
4,242E,5,9262,34
5,24C8,5,9416,34
8,25C4,5,9668,34
9,25DE,5,9694,34
11,25F6,5,9718,34
15,266C,5,9836,34
16,266E,5,9838,34
42,26F2,5,9970,34
70,2772,5,10098,34
108,285E,5,10334,34
119,2886,5,10374,34
120,2888,5,10376,34
126,28B0,5,10416,34
146,2902,5,10498,34
151,290E,5,10510,34
152,2918,5,10520,34
153,291C,5,10524,34
157,2938,5,10552,34
162,2970,5,10608,34
171,298E,5,10638,34
172,2990,5,10640,34
178,2A06,5,10758,34
180,2A3E,5,10814,34
181,2B84,5,11140,34
185,2C36,5,11318,34
187,2D38,5,11576,34
188,2D8C,5,11660,34
201,2DC6,5,11718,34
216,2DFA,5,11770,34
218,2E12,5,11794,34
236,2E5C,5,11868,34
237,2E5E,5,11870,34
250,2E9C,5,11932,34
256,2EBE,5,11966,34
276,2F12,5,12050,34
278,2F16,5,12054,34
279,2F22,5,12066,34
284,2F2E,5,12078,34
297,2F68,5,12136,34
298,2F6C,5,12140,34
322,302A,5,12330,34
326,3056,5,12374,34
330,3092,5,12434,34
333,309A,5,12442,34
337,30A8,5,12456,34
347,3112,5,12562,34
356,3134,5,12596,34
362,314C,5,12620,34
365,3158,5,12632,34
447,32F6,5,13046,34
528,34C4,5,13508,34
555,353C,5,13628,34
567,35A0,5,13728,34
595,3622,5,13858,34
651,3736,5,14134,34
657,374E,5,14158,34
695,38CA,5,14538,34
697,3922,5,14626,34
699,3A14,5,14868,34
701,3A98,5,15000,34
702,3AA0,5,15008,34
22,2686,5,9862,TagEffects
27,2698,5,9880,TagEffects
28,269C,5,9884,TagEffects
44,26FA,5,9978,TagEffects
56,2736,5,10038,TagEffects
68,276C,5,10092,TagEffects
111,286C,5,10348,TagEffects
138,28E2,5,10466,TagEffects
155,2920,5,10528,TagEffects
211,2DE8,5,11752,TagEffects
212,2DEC,5,11756,TagEffects
232,2E48,5,11848,TagEffects
239,2E66,5,11878,TagEffects
265,2EE2,5,12002,TagEffects
271,2EF2,5,12018,TagEffects
272,2EF4,5,12020,TagEffects
286,2F34,5,12084,TagEffects
296,2F66,5,12134,TagEffects
303,2F94,5,12180,TagEffects
325,3054,5,12372,TagEffects
329,308A,5,12426,TagEffects
340,30B6,5,12470,TagEffects
351,3124,5,12580,TagEffects
373,3176,5,12662,TagEffects
380,31AC,5,12716,TagEffects
402,3232,5,12850,TagEffects
418,3274,5,12916,TagEffects
430,32BC,5,12988,TagEffects
468,3368,5,13160,TagEffects
490,340A,5,13322,TagEffects
532,34DC,5,13532,TagEffects
536,34E6,5,13542,TagEffects
581,35E2,5,13794,TagEffects
585,35EE,5,13806,TagEffects
598,362E,5,13870,TagEffects
613,3686,5,13958,TagEffects
628,36C6,5,14022,TagEffects
631,36D0,5,14032,TagEffects
639,36F4,5,14068,TagEffects
61,274E,5,10062,TagEffects
114,2874,5,10356,TagEffects
169,2988,5,10632,TagEffects
189,2D8E,5,11662,TagEffects
230,2E44,5,11844,TagEffects
283,2F2C,5,12076,TagEffects
331,3094,5,12436,TagEffects
409,3258,5,12888,TagEffects
693,38A2,5,14498,TagEffects
694,38A6,5,14502,TagEffects
698,398A,5,14730,TagEffects
